LG,한화,롯데,KT,삼성,SSG,NC,KIA,두산,키움,팀명
■,3-2-0,3-1-1,2-3-0,5-1-0,6-3-0,3-2-0,3-2-0,3-3-0,5-1-0,LG
2-3-0,■,3-4-0,3-2-0,4-2-0,4-2-0,4-2-0,4-1-0,2-4-0,5-1-0,한화
1-3-1,4-3-0,■,3-1-2,5-1-0,3-3-0,3-3-0,2-4-0,3-3-0,6-0-0,롯데
3-2-0,2-3-0,1-3-2,■,3-2-0,1-4-0,2-4-0,3-3-0,4-1-1,7-2-0,KT
1-5-0,2-4-0,1-5-0,2-3-0,■,3-2-1,4-2-0,5-2-0,3-3-0,5-0-0,삼성
3-6-0,2-4-0,3-3-0,4-1-0,2-3-1,■,2-1-0,3-2-0,4-1-0,2-4-0,SSG
2-3-0,2-4-0,3-3-0,4-2-0,2-4-0,1-2-0,■,2-2-0,3-1-2,4-2-0,NC
2-3-0,1-4-0,4-2-0,3-3-0,2-5-0,2-3-0,2-2-0,■,5-1-0,3-3-0,KIA
3-3-0,4-2-0,3-3-0,1-4-1,3-3-0,1-4-0,1-3-2,1-5-0,■,4-1-0,두산
1-5-0,1-5-0,0-6-0,2-7-0,0-5-0,4-2-0,2-4-0,3-3-0,1-4-0,■,키움
