순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,LG,48,31,16,1,0.660,0,7승1무2패,2승,18-0-7,13-1-9
2,한화,48,29,19,0,0.604,2.5,4승0무6패,1패,15-0-10,14-0-9
3,롯데,50,28,19,3,0.596,3,5승2무3패,1패,13-2-10,15-1-9
4,SSG,47,24,22,1,0.522,6.5,8승0무2패,4승,13-1-11,11-0-11
5,KT,49,23,23,3,0.500,7.5,5승1무4패,2승,13-1-12,10-2-11
6,NC,44,21,22,1,0.488,8,6승0무4패,1승,4-0-6,17-1-16
7,삼성,49,23,25,1,0.479,8.5,4승0무6패,2승,16-0-12,7-1-13
8,KIA,46,22,24,0,0.478,8.5,5승0무5패,2패,14-0-11,8-0-13
9,두산,48,19,27,2,0.413,11.5,3승0무7패,5패,8-2-15,11-0-12
10,키움,51,14,37,0,0.275,19,1승0무9패,3패,7-0-19,7-0-18
